# 対処行動・予防が必要になる場面データ
# フォーマット: name|category|severity_level|description

# 身体症状系
体重(筋肉量)の減少|physical|moderate|高強度運動や速筋の運動が少ない期間が3ヶ月以上続く。体重が60~62kg以下になる。筋肉量が60以下になる。等を満たした場合業務遂行不能に陥るリスクが高い状態と判断する
過剰な食欲|physical|mild|血糖値や血圧・脈拍の不安定。高い酸化物・低い鮮度の食事内容かつ活動量に対し摂取カロリーが過剰な状態が3日以上続くと著しくパフォーマンスが低下する傾向が見られた
慢性的な右奥歯の痛み　それに伴う精神病質的症状|physical|severe|下あご右奥歯が内傾。上あご右奥歯が外傾。かみ合わせが悪く歯が削れていて細菌感染しやすくなっている。就寝時の食いしばりが激しくなると起床時の希死念慮や慢性的な神経失調に影響する
耳鳴り|physical|moderate|右耳の耳鳴りが強くなる
起床時の頭痛|physical|moderate|起床時の頭痛が現れる
希死念慮|physical|severe|起床時の希死念慮が始まる
反り腰|physical|moderate|布団がへたれており反り腰になっていた
肩こり|physical|moderate|肩こりなど筋緊張も悪化させた
過剰性欲|physical|moderate|筋力不足やその他の症状の影響もあるが過剰性欲に繋がる
呼吸器系の機能低下|physical|moderate|呼吸器系の機能低下に繋がり、パフォーマンスの低下を招く
慢性疲労|physical|moderate|慢性疲労のような症状が出始める
運動機能の低下|physical|moderate|運動機能の低下を自覚し始める
認知機能の低下|physical|moderate|認知機能の低下を自覚し始める
集中力が持続しない|physical|moderate|仕事中に集中力が持続しない
タイピングを含むコーディング能力の低下|physical|moderate|タイピングを含むコーディング能力が著しく低下する
生活環境悪化（カビなど）|physical|moderate|生活環境も悪化し、カビなどが増える状況になる
衛生面の悪化|physical|moderate|衛生面の悪化が身体・心理の両面に影響する
血糖値や血圧・脈拍の不安定|physical|mild|血糖値や血圧・脈拍の不安定な状態
食後の血糖値変動・脈拍上昇|physical|mild|食後の血糖値変動・脈拍上昇と連動するリテラシー/言語化能力の低下

# 心的状態・精神症状系
道徳的外傷(対人恐怖症・抑うつの合併)|mental|severe|他者の言動によって自身の道徳心が棄損された際にストレスが生じる。他人または組織の非道徳的な言動を見聞きしたり想像して傷つく。動悸、震えなどの身体症状が現れるほか反芻、脳が焼ける感覚などが現れる
過集中・覚醒|mental|mild|タスク遂行中に脈拍上昇など興奮の症状が現れ、視野狭窄や疲労に陥る。スケジュールされた時間を越して作業を続ける
体験的回避|mental|mild|ストレスから回復した段階で"もうがんばりたくない" "もうずっとこのままでいい" などで活力を失う。ずっと寝たきりになる
対人恐怖症|mental|moderate|全ての対人交流において過剰な監視が発生すると思い込んでいた。その間に負ったストレスがトラウマになっていて対人関係でも同じことが起こるのではないかという恐怖感があった
抑うつ症状|mental|moderate|LLMチャットサービスの利用による認知負荷が非常に大きかった印象があるが、それと同時に認知負荷を軽減・回復したり、認知能力を改善する方法を全く有していなかったため、負荷が高まる一方だった
セロトニン不足の症状|mental|moderate|睡眠の不調、嗅覚機能の低下、感情の起伏が無くなる。不安障害。遂行能力・集中力、共感能力、睡眠質の低下
強迫行動|mental|moderate|不可能なノルマを自身に課す。他者に無理な要求をする。過剰に働き続ける。失敗に対し過剰に反省する
自律神経の乱れ|mental|moderate|慢性的な肩・首のこり、セロトニン不足などが原因だと思われる。交感神経が常に亢進状態ぎみで、不安障害による強迫行動を悪化させた
不安障害|mental|moderate|不安障害が現れる
不安・緊張の慢性化|mental|moderate|不安・緊張が慢性化する
恐怖感|mental|moderate|対人関係でも同じことが起こるのではないかという恐怖感があった
トラウマ|mental|severe|その間に負ったストレスがトラウマになっている
フラッシュバック的な症状|mental|moderate|ワークショップ全体で休職要因について繰り返し思い出すことがフラッシュバック的な症状を軽減していった
認知のゆがみ|mental|moderate|認知のゆがみのようなものが軽減される
心理的負荷|mental|moderate|心理的負荷が高まる
精神的病質に近い症状|mental|severe|品質の悪い揚げ物が3日ぐらい続いた日はその他の不摂生との相性によっては精神的病質に近い症状が現れる
活力を失う|mental|mild|活力を失う
寝たきりになる|mental|mild|ずっと寝たきりになる
必要以上に休息を取り過ぎる|mental|mild|必要以上に休息を取り過ぎないよう注意する必要がある
孤独な時間|mental|moderate|孤独な時間を減らすなど事前の予防が肝心である
自己効力感の低下|mental|moderate|自己効力感や自己肯定感などが失われていく過程を経ている
自己肯定感の低下|mental|moderate|自己効力感や自己肯定感などが失われていく過程を経ている

# 認知・パフォーマンス系
認知的負荷|cognitive|moderate|PC作業(LLMサービスの利用)がかなり認知的負荷になっていた
認知リソースの枯渇|cognitive|moderate|自身の慢性的な認知リソースの枯渇を引き起こす
パフォーマンス/生産性の低下|cognitive|moderate|パフォーマンス/生産性の低下が起こる
リテラシー(文章を読み取る力)の低下|cognitive|moderate|リテラシー(文章を読み取る力)が低下する
言語化能力の低下|cognitive|moderate|言語化能力が低下する
デッサン力の低下|cognitive|moderate|デッサン力が低下する
クリエイティブの低下|cognitive|moderate|クリエイティブが低下する
視野狭窄|cognitive|moderate|視野狭窄に陥る
疲労|cognitive|moderate|疲労に陥る
悪循環|cognitive|moderate|悪循環を生み出す
疲労の悪循環|cognitive|moderate|疲労の悪循環に陥る
回復のめどが立たない|cognitive|moderate|回復のめどが立たなくなる
