# 対処行動・予防方法データ
# フォーマット: name|category|effectiveness|ease_of_use|recommendation|description

# 測定・モニタリング系
SpO2測定|measurement|4|3|3|動けない感覚を数値で把握でき、低値に気づくことで深呼吸や姿勢調整など具体的な対処につなげやすく、セルフモニタリングの精度が上がる
脈拍測定（脈をはかる）|measurement|5|5|3|脈拍を測定して状態を把握する
パルスシフト（脈拍調整）|measurement|5|5|1|脈拍を下げたり上げたりすることで各タスクに適切なバイタルで実行することができる。起床時や就寝時のほか、作業開始時などで適切な心拍数に調整すると移行しやすくなる
イベント境界測定|measurement|4|3|3|一定時間内に人間の脳が外部のできごとを認識する頻度を測定する
体内時計測定|measurement|3|3|3|時間を非表示にしてタイマーを押す、5分経ったと思ったら時計を見るなどで時間感覚の乖離を確認する
心電図測定|measurement|4|2|3|心電図の振幅や拍出量を測定して状態を把握する

# 身体・運動系
太極拳|physical|5|4|2|時間のサンプリング間隔を短くする(一定時間あたりの自分の体感時間を長くする)効果がある。汎用性が高くいろいろな症状に効果がある
ヨガ|physical|4|3|4|就寝前のルーティンとして使いやすく、呼吸とストレッチによって身体の緊張が下がりやすく、実施後にやった感覚が残るため自己効力感の回復につながる
筋力トレーニング|physical|5|2|4|筋肉量・心肺機能の維持／向上に寄与し、パフォーマンス全体（業務遂行能力・レジリエンス等）の底上げにつながる
人とゲーム・運動をする|physical|5|1|5|認知機能の改善・向上・維持、不安障害の改善・予防、心理的安全性、すべてに寄与する
日光浴|physical|4|4|4|日光を浴びることでセロトニン生成を促進し、リズムを整える
呼吸調整|physical|4|4|4|呼吸を調整して自律神経を整える

# 水分・栄養系
水を飲む|nutrition|3|5|4|コストがかからずすぐ実行できる。体内の水分不足によって、安静時にもかかわらず脈拍が下がらなくなる場合があり、パフォーマンスが下がる
電解質を取る|nutrition|3|5|4|電解質不足を補うことでパフォーマンスを改善する
カフェインを摂る|nutrition|3|5|3|モチベーションを高める効果がある

# 心理・認知系
セーバリング（祈り）|psychological|4|3|3|その日あったよいことをふりかえる。それがどの程度ありがたいことかを振り返る。ありがたみを感じることが目的。感謝した際に前頭前野付近の領域が活性化する
メタ認知（情動の観察・自覚）|psychological|5|3|3|自身の情動を自覚することで行動活性化または活動の抑制につながる場合が多い。活動的でない時「今自分は（その時自覚しにくい回避的要素）によってめんどくさがっている」などを自覚すると行動する意欲が湧く
論理パズルの練習をする|psychological|1|3|1|課題が明確で取り組み始めやすく、一時的な気晴らしとしては使えるが、効果が転移しにくい

# 音・音楽系
音楽を聴く|audio|4|3|4|それぞれの心的症状に合わせて適切な音楽を聴くことが症状の緩和・改善に寄与する
メルクリウスを聞く|audio|4|3|4|アニメ神のみぞ知るセカイのオープニングソング。傷ついたとき・性根が腐りそうになった時など立ちなおれる場合がある
閃光を聞く|audio|4|3|4|ゲームfinal fantasy xIII内の戦闘フェーズの楽曲。なぜがんばっているのか分からなくなった時などに聞いたり思い出したりして立ち直れることがある
子供の声を聞く|audio|4|4|4|対人恐怖症状が出た際に排斥されている感覚からそこにいて良いという感覚へ戻しやすく、公園での過去体験と結びついているため安心感を想起しやすく、音声のみなので刺激量を抑えて使える
耳栓をする|audio|4|3|4|外部刺激を遮断することで内省や思考整理に入りやすく、アイデア出しや内政的思考を深めたい場面で効果を感じやすい

# ツール・環境系
リマインダーツール|tool|3|2|3|書類提出や予定行動を外部記憶として補完でき、設定できていれば抜け漏れ防止には一定の効果がある
アラーム|tool|3|4|3|終了時刻に合わせて通知する仕掛け
スクリーンタイムアプリ（SNS閲覧禁止）|tool|3|3|3|SNSの閲覧禁止することで認知リソースを節約する
ナイトガード|tool|4|3|4|就寝時の食いしばり等に関連する症状（起床時の頭痛等）に対して、使用開始後に軽減したと整理できる。夜間の要因に対する「固定の対策」として運用しやすい

# その他
ミンティア|other|3|5|3|すぐに使えて携帯性が高く、ミント刺激によって疲労や落ち込み時の気分転換がしやすく、呼吸と組み合わせることで意識の切り替えが起こりやすい
心療内科や精神科に相談する|other|5|2|5|専門家に相談することで適切な対処法を得られる
自己開示|other|4|3|4|比喩や匿名化など具体的な情報を伏せてもよいので他者に相談できる形にする
道徳的観念が一致する人物/集団と交流する|other|4|3|4|道徳的観念が一致する人物/集団と交流することで心理的安全性を確保する
親に連絡を入れる|other|3|4|3|親に連絡することで社会的接点を確保する
人による心理的物理的介入|other|4|2|4|重要な予定または心理的要因で無意識に回避しがちな予定がある場合、開始時間（十分なバッファを含む）になったら連絡するように頼み、人による心理的物理的介入を行う
高められる人とコミュニケーションを取る|other|4|2|3|ソフトウェアの設計や文章表現などの厳密性を高める議論を人とする。予定行動の対処法について相談する
終わったら好きなものを買う|other|3|4|3|モチベーションを高めるために終わったら好きなものを買う
将来の目標と動悸を思い出す|other|3|4|3|モチベーションを高めるために将来の目標と動悸を思い出す
1日以上休む|other|4|3|3|過集中・過剰な覚醒が3日以上に渡って1日1回以上該当した場合、過集中が習慣化・慢性化の傾向にあるとみなし、1日以上休むなどで対処する

# 栄養・食事管理系
カロリー管理（2,000〜2,300kcal）|nutrition|4|2|3|1日のカロリーを2,000〜2,300kcalに管理する
タンパク質摂取（105〜145g、20〜40gを1日3〜4回に分ける）|nutrition|4|2|3|タンパク質を105〜145g、20〜40gを1日3〜4回に分けて摂取する
脂質管理（40〜65g）|nutrition|3|2|3|1日の脂質を40〜65gに管理する
